dataset,model_uid,run_id,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,frozen_origin,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,26,121736,0.000213576920549,0.000145761515415,0.000312933503007,0.00129089916092,0.00103456784494,0.00161063840715,3.3099978485e-05,9.07725491843e-06,0.000120690554078,-0.00817342445949,0.821411192417,0.821411192417,125,60423,0.00206874865531,2,60423,3.3099978485e-05,0.016,0.177779984443,0.111348327624,-0.00870736676086,-0.007655911152,-0.00125779918243,-0.0015556989888,-0.000976449365308
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,recalibrated_compressed,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1726,121736,0.0141782217257,0.0135292620161,0.0148578413135,0.00129089916092,0.00103456784494,0.00161063840715,0.00256524833259,0.00219232240336,0.00300142016606,0.00579122034567,0.821411192417,0.688186049461,125,60423,0.00206874865531,175,60423,0.00289624811744,1.4,0.177779984443,0.111348327624,0.00517513307485,0.00644016560426,0.00127434917167,0.000910249408338,0.00165541267398
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,frozen_origin,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,3318,121736,0.0272557008609,0.0263558363776,0.0281853999116,0.00129089916092,0.00103456784494,0.00161063840715,0.00263144828956,0.00225337674923,0.0030727573172,0.0188686994808,0.821411192417,0.821411192417,125,60423,0.00206874865531,265,60423,0.00438574714926,2.12,0.177779984443,0.167370041209,0.0180965367681,0.0196739255438,0.00134054912864,0.00105919931152,0.00165499892425
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1121,121736,0.00920845107446,0.00868715701111,0.00976071865481,0.00129089916092,0.00103456784494,0.00161063840715,0.00117504923622,0.000931773051823,0.00148174808051,0.000821449694421,0.821411192417,0.843882381916,125,60423,0.00206874865531,112,60423,0.00185359879516,0.896,0.177779984443,0.167370041209,0.000550371295262,0.00107630446211,-0.000115849924698,-0.00026479982788,3.3099978485e-05
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,frozen_origin,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,9,121736,7.39304724979e-05,3.88967220277e-05,0.000140514213283,0.00129089916092,0.00103456784494,0.00161063840715,0,0,6.35720604942e-05,-0.00831307090754,0.821411192417,0.821411192417,125,60423,0.00206874865531,0,60423,0,0,0.177779984443,0.119259222482,-0.00883058421502,-0.00779555760005,-0.00129089916092,-0.00157224897804,-0.00100954934379
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,recalibrated_compressed,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1656,121736,0.0136032069396,0.0129676779399,0.0142694321063,0.00129089916092,0.00103456784494,0.00161063840715,0.0026479982788,0.00226865049177,0.00309058144892,0.00521620555957,0.821411192417,0.656810104847,125,60423,0.00206874865531,188,60423,0.00311139797759,1.504,0.177779984443,0.119259222482,0.00463297627653,0.00579964020503,0.00135709911789,0.00099299935455,0.00172119888122
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,frozen_origin,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1362,121736,0.011188144838,0.0106125309485,0.0117946073074,0.00129089916092,0.00103456784494,0.00161063840715,0.00147294904258,0.00119722496001,0.00181205790884,0.00280114345797,0.821411192417,0.821411192417,125,60423,0.00206874865531,148,60423,0.00244939840789,1.184,0.177779984443,0.176158085497,0.0025134307025,0.00311329434185,0.000182049881668,8.27499462125e-05,0.000297899806365
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1060,121736,0.00870736676086,0.00820075260615,0.00924498605566,0.00129089916092,0.00103456784494,0.00161063840715,0.00129089916092,0.00103456784494,0.00161063840715,0.000320365380824,0.821411192417,0.826390385628,125,60423,0.00206874865531,123,60423,0.00203564867683,0.984,0.177779984443,0.176158085497,0.000205362423605,0.000460011828876,0,0,0
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,frozen_origin,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1279,121736,0.0105063415916,0.00994883062291,0.0110947441684,0.00129089916092,0.00103456784494,0.00161063840715,0.00105919931152,0.000829632268809,0.00135220374376,0.00211934021161,0.821411192417,0.821411192417,125,60423,0.00206874865531,68,60423,0.00112539926849,0.544,0.177779984443,0.0780993992354,0.00145396595912,0.00278471446409,-0.000231699849395,-0.00059579961273,0.00013239991394
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,recalibrated_compressed,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1710,121736,0.0140467897746,0.0134008745647,0.0147233731573,0.00129089916092,0.00103456784494,0.00161063840715,0.0013239991394,0.00106404551652,0.00164735648407,0.00565978839456,0.821411192417,0.814554274082,125,60423,0.00206874865531,85,60423,0.00140674908561,0.68,0.177779984443,0.0780993992354,0.00493691266347,0.00637465499113,3.3099978485e-05,-0.000364099763335,0.000430299720305
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,frozen_origin,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,43387,121736,0.356402378918,0.353716553462,0.359097266722,0.00129089916092,0.00103456784494,0.00161063840715,0.0104761431905,0.00969487080164,0.0113196556598,0.348015377538,0.821411192417,0.821411192417,125,60423,0.00206874865531,1550,60423,0.0256524833259,12.4,0.177779984443,0.114774175397,0.345361889663,0.350685294408,0.00918524402959,0.00837429455671,0.00997964351323
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,0.01,1021,121736,0.00838700138004,0.00789000066834,0.00891502744986,1217,121736,0.0099970427811,0.00945345303382,0.0105715562779,0.00129089916092,0.00103456784494,0.00161063840715,0.000645449580458,0.000472221847753,0.000882167308537,0.00161004140106,0.821411192417,0.912963628769,125,60423,0.00206874865531,49,60423,0.000810949472883,0.392,0.177779984443,0.114774175397,0.00105946474338,0.00217725241506,-0.000645449580458,-0.00092679939758,-0.000380649752578
