dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,compressed_score_space,compressed_dir_rank1,compressed_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_32,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.97268907563,0.303909952607,0.432901352644,0.432901352644,0.97268907563,0.97268907563,1,0.989495798319,0.983193277311,1,1688,0.000592417061611,513,1688,0.303909952607,0.000104583813744,0.00334813853813,0.282434055697,0.326276325202,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0.303317535545,0.2819757109,0.324644549763,0,0,0,128,0,50,73984,1479.68,0.00378960258868,263879.912629,0,0,519,0.239833641405
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_64,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.97268907563,0.0148104265403,0.432901352644,0.432901352644,0.97268907563,0.97268907563,1,0.989495798319,0.985294117647,1,1688,0.000592417061611,25,1688,0.0148104265403,0.000104583813744,0.00334813853813,0.0100517254132,0.0217724496831,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0.0142180094787,0.00888625592417,0.0201569905213,0,0,0,256,0,50,145920,2918.4,0.00643724584219,155345.939011,0,0,24,0.0110905730129
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_128,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.97268907563,0.00118483412322,0.432901352644,0.432901352644,0.97268907563,0.97268907563,1,0.989495798319,0.989495798319,1,1688,0.000592417061611,2,1688,0.00118483412322,0.000104583813744,0.00334813853813,0.000324984408263,0.00430988180796,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0.000592417061611,0,0.00177725118483,0,0,0,512,0,50,289792,5795.84,0.00397255083375,251727.426998,0,0,1,0.000462107208872
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_256,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.97268907563,0.000592417061611,0.432901352644,0.432901352644,0.97268907563,0.97268907563,1,0.989495798319,0.989495798319,1,1688,0.000592417061611,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.000104583813744,0.00334813853813,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0,0,0,0,0,0,1024,0,50,577536,11550.72,0.00424292975603,235686.202106,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_384,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.97268907563,0.000592417061611,0.432901352644,0.432901352644,0.97268907563,0.97268907563,1,0.989495798319,0.989495798319,1,1688,0.000592417061611,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.000104583813744,0.00334813853813,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0,0,0,0,0,0,1536,0,50,865280,17305.6,0.00478128465841,209148.810716,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_32,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.953781512605,0.0225118483412,0.432901352644,0.582525372505,0.97268907563,0.953781512605,0.980561555076,0.989495798319,0.983193277311,1,1688,0.000592417061611,38,1688,0.0225118483412,0.000104583813744,0.00334813853813,0.0164448226811,0.0307472226518,0.953838641232,0.983971111818,0.931014766236,0.969282596693,0.0219194312796,0.0154028436019,0.029028436019,-0.0189075630252,-0.031512605042,-0.00840336134454,128,0,50,73984,1479.68,0.00378960258868,263879.912629,9,0.00415896487985,38,0.0175600739372
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_64,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.970588235294,0.00177725118483,0.432901352644,0.510724425316,0.97268907563,0.970588235294,0.997840172786,0.989495798319,0.985294117647,1,1688,0.000592417061611,3,1688,0.00177725118483,0.000104583813744,0.00334813853813,0.000604605803334,0.00521240427724,0.953838641232,0.983971111818,0.951241089085,0.982400620619,0.00118483412322,0,0.00296208530806,-0.00210084033613,-0.0063025210084,0,256,0,50,145920,2918.4,0.00643724584219,155345.939011,1,0.000462107208872,2,0.000924214417745
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_128,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.97268907563,0.00118483412322,0.432901352644,0.467699497938,0.97268907563,0.97268907563,1,0.989495798319,0.989495798319,1,1688,0.000592417061611,2,1688,0.00118483412322,0.000104583813744,0.00334813853813,0.000324984408263,0.00430988180796,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0.000592417061611,0,0.00177725118483,0,0,0,512,0,50,289792,5795.84,0.00397255083375,251727.426998,0,0,1,0.000462107208872
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_256,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.97268907563,0.000592417061611,0.432901352644,0.407464206219,0.97268907563,0.97268907563,1,0.989495798319,0.989495798319,1,1688,0.000592417061611,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.000104583813744,0.00334813853813,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0,0,0,0,0,0,1024,0,50,577536,11550.72,0.00424292975603,235686.202106,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260811-R001-f9c81fe5,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_384,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.97268907563,0.000592417061611,0.432901352644,0.40746486187,0.97268907563,0.97268907563,1,0.989495798319,0.989495798319,1,1688,0.000592417061611,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.000104583813744,0.00334813853813,0.953838641232,0.983971111818,0.953838641232,0.983971111818,0,0,0,0,0,0,1536,0,50,865280,17305.6,0.00478128465841,209148.810716,0,0,0,0
