dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_32,pca_direct_cosine,frozen_origin,cosine_similarity,0.968487394958,0.174763033175,128,0,50,6400,128,0.00238197781359,419819.191554,0,0,297,0.137245841035
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_64,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.0053317535545,256,0,50,12800,256,0.00325628465288,307098.459318,0,0,8,0.00369685767098
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_128,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,512,0,50,25600,512,0.00358743068528,278751.030397,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_256,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00385097041586,259674.807129,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_384,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00333216265604,300105.397973,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_32,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.964285714286,0.029028436019,128,0,50,6400,128,0.00238197781359,419819.191554,3,0.00138632162662,49,0.0226432532348
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_64,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.00473933649289,256,0,50,12800,256,0.00325628465288,307098.459318,0,0,7,0.00323475046211
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_128,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.968487394958,0.000592417061611,512,0,50,25600,512,0.00358743068528,278751.030397,2,0.000924214417745,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_256,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00385097041586,259674.807129,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_384,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00333216265604,300105.397973,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_32,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.970588235294,0.197274881517,128,0,50,6400,128,0.00383313308972,260883.193094,0,0,336,0.155268022181
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_64,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.00592417061611,256,0,50,12800,256,0.00432712569176,231100.289484,0,0,9,0.00415896487985
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_128,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,512,0,50,25600,512,0.00528743067845,189127.77506,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_compact_summaries,legacy_source_run,,pca,pca_256,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00339741219315,294341.676296,0,0,0,0
